	max_domain	people	clothing	animals_plants	home	food	vehicles	buildings	SUM
$blencer	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$blender top	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$blite	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$blood sausage	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$bnch	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$bode	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$boodshelf	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$book and pen	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$book case	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$bookcase, hutch	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$boook	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$bothtub	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$botttle	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$bowi	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$bowl of soup	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$breakfast tray	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$broken	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$bugate	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$bunc	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$bunch bananas	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$bundt cake	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$bunger	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$bunkbeds	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$bupboard	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$cabboard	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$cabinet counter	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$caborad	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$caborte	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$cahrger	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$calender	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$camp chair	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$camping chair	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$camputer	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$candle holder	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$canisters	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$cantle	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$carafe	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$carper	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$carpet rug	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$carreat	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$cat bed	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$cell phones	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$celphone	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$cereal bowl	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$chair sculpture	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$chaire	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$chaisse	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$change purse	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$chappal	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$chemical	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$chiffonier	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$chikan	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$chop sticks	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$chopstick	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$citrus juicer	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$closets	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$clothes cover	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$club chair	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$cobored	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$cobread	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$coco	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$coffe	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$collender	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$comfortor	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$comp[uter	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$computer monitors	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$computer screen	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$computer table	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$contertop	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$controls	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$cook stove	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$coporve	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$corpet	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$coucht	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$couinter	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$counh	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$counter sink	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$counter\	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$counterfop	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$countertops	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$couter	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$cover bag	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$cradle	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$craft pot	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$crate	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$cuckoo clock	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$cunter	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$cup and saucer	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$cupboard door	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$cupport	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$cut	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$dalivision	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$day bed	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$decorative cup	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$delivision	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$desk chair	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$desk light	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$desk top	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$deskj	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$desl	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$dinging table	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$dining	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$dining set	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$dining tabe	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$dirngs	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$disk	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$dog chain	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$double bed	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$dove mettere la stampante	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$doy	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$dust sand	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$dustpin	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$ear	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$edge	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$electric machine	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$electronic goods	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$end table	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$engine of train	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$esk	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$estor rock	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$flat	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$fliwer	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$fllor	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$flower stand	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$flowerbot	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$flowers paint	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$food bar	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$food bucket	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$food maker	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$foot rest	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$forrest gump	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$front desk	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$fruuits	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$frying eggs	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$furnace	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$galls	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$game remode	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$game system	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$gaming chair	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$garden roses	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$ged	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$gift box	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$gkass	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$glas	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$glass container	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$glass object	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$glass pane	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$glasss	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$grocceries	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$had shart	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$half gallon hat	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$hand waech	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$headstone	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$high heels	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$home mekar	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$home tekarat	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$hook	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$hoverboard	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$hunting knife	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$ice container	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$innerwear	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$jackknife	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$jacuzzi	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$jake	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$jean	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$joket	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$juge	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$juice mixer	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$keybard	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$keyboar	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$keyboard drawer	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$keyborad	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$keyboread	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$keyborte	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$keypad	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$keyport	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$kichen	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$kicken	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$kids bed	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$kinife	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$kitchen counter and cabinets	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$kitchen prep	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$knee	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$knife blade	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$knobs	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$labtab	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$ladien	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$landine	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$laopat	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$lap[top	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$laptop counter	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$lapyop	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$latiean	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$latop	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$lawn chair	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$leadin	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$leafe	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$leather	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$led-backlit lcd	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$leidain	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$lemons	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$letters	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$lfower vase	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$light post	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$locker	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$loptop	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$lotion	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$lower cabinets	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$meat carvin	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$metal	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$metal container	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$michear	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$micheare	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$michene	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$micher	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$michi	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$micro oven	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$micshre	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$mikser	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$mixer grender	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$moniters	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$monitors	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$monochrome	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$mopel	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$mopiel	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$munberplate	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$napkins	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$nasket	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$nattō	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$nif	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$nooks	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$note	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$note book	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$office cabinet	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$office desk	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$officer chair	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$officer counter	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$oine	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$okra	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$old house room background	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$orage	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$os x yosemite	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$outdoor bed with overhang	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$pad	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$palcelian	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$panana	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$paper bowl	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$paperwork	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$pasteries	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$pasty	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$patio chair	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$pattel	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$peach	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$peaches	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$ped	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$ped sheet	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$pen table	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$pench	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$pet dish	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$phonebooth	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$phoneq	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$phones	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$pica	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$pie filling	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$pigk	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$piilar	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$pilow	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$ping pong table	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$piollow	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$pistashios	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$pizza display	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$pizza ladle	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$pizza paddle	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$pizza peel	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$plate cake	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$play kitchen	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$plce mat	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$possum	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$post it notes	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$pot of carrots	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$pottry	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$preparation counter	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$preparation space	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$pucket	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$pzza	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$quesidilla	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$racketlon	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$raclette	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$ramikin	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$rebate plane	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$refiderator	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$refreshments	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$restaurant table	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$retaining wall	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$rocker	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$roomcupboard	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$scisscer	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$scope	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$scupture	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$seck	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$self cupboard	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$senior citizen	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$serving board	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$serving bowl	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$serving dish	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$sewing table	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$shaker	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$shelve	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$shelving unit	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$shirs	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$shlef	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$shootcase	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$shrt	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$sicear	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$side table	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$sifa	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$signal post	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$silver	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$sink cabinet	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$sit	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$skating boad	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$ski board	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$slepper	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$smook	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$smoothie	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$snackes	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$snickers	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$soapa	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$soba	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$sofa bed	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$sofa cover	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$sofa, couch, shirt, parrot	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$sofaes	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$sofas	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$soppa	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$soup bowel	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$soup bowl	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$soupa	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$sowfa	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$spaula	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$sponch	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$spoone	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$spraybottle	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$statue vase	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$ste[	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$steal	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$steel bench	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$stein	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$stop light	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$stoplight	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$strainer	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
$strap	home	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11
